令和２年,人口動態統計,,
上巻　付録　第３表－２　年次・性・年齢別人口　－男－
　
注：１）2017年（平成29年）以降はe-Stat（確定数）の「人口」の表番号１の備考、2016年（平成28年）以前は報告書（冊子）の上巻「付録」第１表の備考を参照されたい。
　　２) 1970年（昭和45年）・1975年（昭和50年）・1980年（昭和55年）・1995年（平成７年）は、国勢調査の確定数。ただし、1970年（昭和45年）・1975年（昭和50年）・
　　　　1980年（昭和55年）の各報告書では、それぞれ１％抽出集計結果を用いたので、本表と数値が異なる。
　　　　1990年（平成２年）・2000年（平成12年）・2005年（平成17年）・2010年（平成22年）・2015年（平成27年）は、国勢調査の確定数（按分済み人口）。2020年（令和２年）は国勢調査の確定数（不詳補完結果）。
　　３) 1985年（昭和60年）は「昭和60年国勢調査抽出速報集計結果」による。ただし、０～４歳の各歳については「人口問題研究所、昭和60年10月1日現在男女年齢別推定値(日本人人口)」を用いた。
　　４) 1950年（昭和25年）は4670(男2280・女2390)、1955年（昭和30年）は840(男420・女420)の年齢不詳を含む。
　　５) 2004年（平成16年）までの90～94歳は、90歳以上の数値である。
　
,1935,1947,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2014,2015,2016,2017,2018,2019,2020
総数,34734133,38129399,40811760,43860718,45877602,48244445,50600539,54724867,57201287,59044000,60248969,60919153,61488005,61617893,61571727,61041000,61022756,60866773,60675736,60454898,60208034,60002838
０歳,1031081,1274050,1182171,875952,807846,889632,957461,974414,808148,735048,619479,604314,596408,537066,531090,517000,484110,506743,485260,474654,449776,419610
１歳,933210,790690,1286543,874643,816090,846307,948418,1034450,834136,758706,643662,610178,592634,555088,530331,527000,491838,483380,506044,484673,474050,437350
２歳,931018,832073,1264541,927800,791599,822780,925700,1049878,867993,766449,665455,602272,605988,568711,545162,528000,509603,491477,483119,505702,484396,459892
３歳,918975,1014303,1198969,989687,773432,799563,927176,1029702,890554,768066,686158,614948,603757,586089,543062,543000,513261,509586,491430,483013,505641,471578
４歳,899717,986990,786266,1058248,823596,791299,723750,1005209,936007,776930,702613,614947,602842,594211,539517,529000,529268,513203,509494,491285,482906,493300
0～4歳,4714001,4898106,5718490,4726330,4012563,4149581,4482505,5093653,4336838,3805200,3317367,3046659,3001629,2841165,2689162,2644000,2528080,2504389,2475347,2439327,2396769,2281730
5～9歳,4303263,4597406,4825426,5636491,4702331,3995011,4140644,4552267,5109227,4337800,3810008,3325548,3066297,3024316,2841813,2692000,2698523,2689161,2659147,2621279,2575221,2580146
10～14歳,3876774,4449289,4400387,4815800,5620477,4670170,3976006,4207013,4564462,5085500,4358230,3799992,3334963,3071059,3013782,2904000,2855328,2798896,2755513,2732573,2711090,2724077
15～19歳,3350713,4144572,4317567,4341369,4677763,5478341,4538341,4011716,4194921,4556700,5107977,4352058,3808608,3354802,3096387,3034000,3073597,3058390,3030148,2979988,2927427,2883030
